ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601318.SH,20250328,52.2,52.37,51.85,51.96,52.06,-0.1,-0.1921,353663.53,1841078.406
601318.SH,20250327,51.71,52.45,51.53,52.06,51.72,0.34,0.6574,432168.72,2248679.011
601318.SH,20250326,51.98,52.09,51.72,51.72,51.96,-0.24,-0.4619,403994.61,2094936.176
601318.SH,20250325,52.15,52.21,51.82,51.96,52.13,-0.17,-0.3261,344402.24,1790739.699
601318.SH,20250324,51.82,52.28,51.82,52.13,51.75,0.38,0.7343,508656.9,2646991.166
601318.SH,20250321,52.4,52.66,51.68,51.75,52.49,-0.74,-1.4098,795714.68,4145943.295
601318.SH,20250320,54.05,54.06,52.23,52.49,54.07,-1.58,-2.9221,1140723.46,6007424.559
601318.SH,20250319,53.68,54.3,53.57,54.07,53.76,0.31,0.5766,509874.21,2751845.206
601318.SH,20250318,53.7,54.19,53.64,53.76,53.38,0.38,0.7119,587740.02,3164655.447
601318.SH,20250317,53.47,53.62,53.1,53.38,53.47,-0.09,-0.1683,605171.76,3229662.145
601318.SH,20250314,51.33,53.89,51.21,53.47,51.14,2.33,4.5561,1502448.65,7945017.156
601318.SH,20250313,51.15,51.55,50.93,51.14,51.15,-0.01,-0.0196,411448.3,2107254.552
601318.SH,20250312,51.5,51.6,51.01,51.15,51.5,-0.35,-0.6796,470578.01,2410921.164
601318.SH,20250311,50.71,51.5,50.6,51.5,51.25,0.25,0.4878,529147.4,2702757.544
601318.SH,20250310,51.51,51.66,50.78,51.25,51.5,-0.25,-0.4854,611283.42,3121852.67
601318.SH,20250307,51.6,51.84,51.32,51.5,51.64,-0.14,-0.2711,481478.72,2481121.736
601318.SH,20250306,50.77,51.93,50.53,51.64,50.38,1.26,2.501,1045821.01,5369202.399
601318.SH,20250305,50.18,50.55,50.01,50.38,50.08,0.3,0.599,455071.76,2287766.876
601318.SH,20250304,50.08,50.29,50.0,50.08,50.33,-0.25,-0.4967,372431.63,1867141.471
601318.SH,20250303,50.55,50.82,50.06,50.33,50.38,-0.05,-0.0992,423160.83,2135730.015
601318.SH,20250228,51.4,51.65,50.38,50.38,51.62,-1.24,-2.4022,805267.53,4102825.272
601318.SH,20250227,51.78,51.8,51.12,51.62,51.62,0.0,0.0,547240.08,2813972.257
601318.SH,20250226,51.1,51.78,51.03,51.62,50.98,0.64,1.2554,536578.05,2758370.362
601318.SH,20250225,51.5,52.1,50.85,50.98,52.0,-1.02,-1.9615,642429.44,3298896.562
601318.SH,20250224,51.2,52.48,51.05,52.0,51.2,0.8,1.5625,835822.74,4341042.76
601318.SH,20250221,50.99,51.5,50.46,51.2,50.78,0.42,0.8271,668760.93,3415352.331
601318.SH,20250220,51.23,51.31,50.66,50.78,51.45,-0.67,-1.3022,515384.78,2620444.374
601318.SH,20250219,51.19,51.83,51.02,51.45,51.31,0.14,0.2729,464425.76,2388611.401
